# PSEUDOCODE THAT WAS TRANSCRIBED AND RUN, AND WHAT THE RUN MEASURED.
#
# WHAT THIS CHANNEL PROVES, AND WHAT IT DOES NOT.
#
# This skill's headline caveat is that citations are ATTRIBUTED, not verified: check.py proves
# a claim points at a real entry with a locator, never that the cited paper says what the
# document claims. Executing a pseudocode block is a THIRD thing, narrower than either:
#
#   check.py green     -> the citation is well-formed.
#   a row here         -> the block, transcribed literally, produces the number printed beside
#                         it. The block is self-consistent and implementable.
#   `verified:` header -> a human read the cited work. NO GAIA DOCUMENT CARRIES THIS.
#
# A green row here does NOT mean the algorithm is the one in the cited paper. A block can run
# perfectly and still be attributed to the wrong source -- the clipmap and Bruneton-Fresnel
# defects in source-findings.tsv were both exactly that. Do not let this file be read as
# verification of provenance.
#
# WHY IT EXISTS. Four of the nine severe/high defects found in the 2026-09-02 review were
# invisible to reading and only appeared on execution: a NaN that scalar Python `min` hides
# and GPU `min` propagates, a droplet loop that never writes the variable it reads, a talus
# artefact whose axis was stated backwards, and a pass count wrong by 10x. Reading found none
# of them. An unrun block is an unverified block, and this file is the record of which is which.
#
# PROVENANCE COLUMN. `lead` = re-executed by the wave lead against the current tree, numbers
# below are that run's. `agent` = measured by the reviewing agent and recorded on its report,
# NOT independently re-run. The distinction is the same one the skill makes everywhere else,
# and rows are not promoted from agent to lead without an actual second run.
document	block	what was asserted	what the run measured	outcome	provenance
noise-and-warping.md	lattice-alignment / per-octave offset table	lacunarity 2 with no offsets gives exactly zero at lattice points; 2.03 gives ratio 0.479; offsets recover comparably	reproduced; agent's independent measurement gave 0.87 vs the document's 0.44, reconciled as an octave-0 difference (non-zero O_0 vs O_0 = 0)	SOUND, with the discrepancy explained rather than waved off	agent
water-rendering.md	Dupuy erf coverage; Monahan whitecap fraction	erf closed form vs MC; W = 3.84e-6*U^3.41	erf 0.1587 vs MC 0.1583; whitecap 0.093% at 5 m/s, 3.9% at 15 m/s, exactly zero at zero wind	SOUND	agent
flow-routing.md	buildStack(receivers) [braun2013]	O(N) stack with no sort and no recursion; every cell appears after its receiver	60x60 field, D8 receivers, edge as base level: stack length 3600 of 3600, all cells present, and every receiver precedes its donors	SOUND	lead
flow-routing.md	D8 accumulation in reverse stack order	total input is conserved onto the base levels	random per-cell input field: sum on base levels 1784.971657565 against input sum 1784.971657565, matching to 9 dp	SOUND	lead
flow-routing.md	mfdWeights(i, p) [freeman1991]	the weights normalise -- the half the p = 1.1 quotation usually omits	3046 interior cells with a downslope neighbour: worst |sum(w) - 1| = 4.44e-16	SOUND	lead
hydraulic-erosion.md, shallow-water.md	the outflow scaling clamp on a dry cell	the clamp as printed is itself a 0/0, and the guard removes it	h = 0 with all fluxes 0: np.minimum gives nan, the guarded form gives 1.0. The scalar asymmetry is ARGUMENT ORDER, not scalar-vs-vector -- min(1, nan) = 1.0 but min(nan, 1) = nan, because nan < 1 is false and Python keeps the first argument.	DEFECT CONFIRMED, fixed. The agent's correction to the critic's framing also reproduces.	lead
thermal-and-aeolian-erosion.md	talus limit shared across all eight neighbours	a single dLimit caps diagonals sqrt(2) too SHALLOW, so the cone spreads into a diamond	tan(35) = 0.7002 against tan(35)/sqrt(2) = 0.4951, the value a shared limit pins diagonals at	DEFECT CONFIRMED -- the document had said too STEEP and named a plus-shaped artefact; both were inverted	lead
flow-routing.md	priorityFlood(z, useEpsilon) [barnes2014]	fills every pit, raises nothing outside a filled basin, and the epsilon variant leaves a strictly downhill path	60x60 bowl, 380 pits to 0; agrees with an independently implemented Planchon-Darboux fill to 0.0 (epsilon variant to 7e-15); z >= input everywhere and cells outside filled basins bit-identical. Plain fill leaves 1353 interior cells with no strictly lower neighbour, stranding 3224 of 3600 cell-areas; with nextafter, 0 stranded and 3600 of 3600 reach the edge.	SOUND	agent
flow-routing.md	breachPit + hybrid driver [lindsay2016]	the depth limit interpolates between fill-only and breach-only	41x41 ramp with an artefact pit and a ridged bowl, required cuts 0.999 and 10.0: maxCut=0 is fill-only (|dz| 680.26), maxCut=1 breaches the artefact with the ridge intact (680.46), maxCut=inf notches the ridge and drains the bowl (11.93). Zero interior sinks in all three.	SOUND, and it corrected the prose: the hybrid modifying less than either pure policy is Lindsay's AGGREGATE result over test DEMs, not a per-basin guarantee -- breach-all moved 11.9 against the hybrid's 680 on that basin, while trenching it.	agent
hydraulic-erosion.md	the droplet loop, after adding the sediment writes	it erodes and deposits, and channelises rather than diverging	Before: with sediment pinned at 0 the deposit branch can never fire, so it erodes every step of every life -- relief reached ~1e68 on a unit-relief 128^2 field. After: relief 1.0 to 0.91, max cut 0.352, drainage carried by the top 1% of cells 26.0% to 36.4%, cells with accumulation > 100 going 344 to 650.	DEFECT CONFIRMED (worse than the reported no-op), fixed	agent
shallow-water.md	positivity under the guarded clamp	depth stays non-negative regardless of timestep	64^2 rough bed, 400 steps, at C = 0.2, 0.5, 1, 2, 5, 10, 20: min depth -0.000000, 0 NaN, mass drift <= 1.11e-16 at every C	SOUND -- the 'positivity is unconditional' claim holds	agent
shallow-water.md	virtual-pipe signal speed under constant vs depth-tied cross-section	the bound is sqrt(g*A/l), an EFFECTIVE depth set by pipe geometry, not the water depth	Bisected critical dt, clamp disabled: constant A=1 gives 0.1604 at depths 0.1, 1.0 and 10 alike; A = h*lx gives 0.5056 / 0.1599 / 0.0506. dt_crit/(dx/sqrt(g*A/l)) held at 0.502 across A in {1,4}, l in {1,4}, dx in {1,2}. Advective speed is absent from the constant-A bound: dt_crit moved 0.1604 to 0.1601 as background transport went 0 to 50 m/s.	DEFECT CONFIRMED -- 'celerity rises with depth' does not describe the constant-A pipe model at all	agent
thermal-and-aeolian-erosion.md	the talus pass, convergence properties	which guarantees actually hold	Volume conservation exact (drift 0.0 clamped, 9e-13 unclamped over 60 passes). The pass is the identity at the fixed point (|h_next - h|_inf = 0.0). Monotone total excess is FALSE -- excess rose on 17 of 1500 passes, largest rise 0.60. Per-pair non-inversion is FALSE -- 2192 inversions with the clamp against 1861 without, so the clamp slightly INCREASES them.	MIXED: two properties verified and asserted, two disproved and removed. Micro-oscillation did not reproduce either -- both variants reach a true fixed point at 0.70021.	agent
thermal-and-aeolian-erosion.md	talus pass count to convergence	'20-100 passes, and then it is done'	Passes to within 1% of tan(35), c = 0.5: 17^2 -> 155, 25^2 -> 338, 33^2 -> 590, 49^2 -> 1306, 65^2 -> 2304, i.e. 0.54*n^2. Cost tracks the FEATURE, not the grid: a radius-8 cone takes 283 passes in a 41^2, 65^2 or 97^2 grid alike, while radius 16 / 24 / 32 take 1155 / 2611 / 4346.	DEFECT CONFIRMED, out by 10-100x. Number removed; the stopping rule and the scaling stay.	agent
thermal-and-aeolian-erosion.md	the /2 in c*maxExcess/2	'the /2 is what stops the surface oscillating'	Unclamped, varying c_eff in moved = c_eff*maxExcess/2: c_eff = 0.5, 1.0, 1.4 and 2.0 all converge to the same fixed point at 0.70021 with zero sign-flips over the last 300 passes. Divergence -- not bounded oscillation -- begins at c_eff >= 3.	DEFECT CONFIRMED: it is a 4-10x stability margin, and the failure past it is divergence. Reframed.	agent
thermal-and-aeolian-erosion.md	aeolian saturation-length relaxation	the relaxed chain damps short-wavelength bumps where q = q_sat cannot	Integrating past a sinusoidal q_sat: amplitude ratio 1/sqrt(1+(2*pi*L_sat/lambda)^2) and lag atan(2*pi*L_sat/lambda) -- measured 0.157/81deg at lambda = L_sat, 0.847/32deg at 10*L_sat, 0.040/87deg at L_sat/4, matching theory to 4 digits. With q = q_sat, ||div q|| grows as 1/lambda without bound (1.26 at L_sat/4 against 0.006 at 50*L_sat); with relaxation it saturates near 0.05.	SOUND after fix. One claim REFUSED: the filter shows damping, not zero growth, so 'a bump shorter than L_sat cannot grow' was not asserted -- the minimum-size result also needs the upwind shift of shear stress, which these lines do not carry.	agent
terrain-analysis-masks.md	Zevenbergen & Thorne curvature coefficients	profile and plan curvature from the 9-point partial-quartic fit	Coefficients were NOT taken from memory: the interpolation was solved exactly in rationals (Vandermonde inverse over Fraction) and read off. Exact to 12 digits on a quadratic surface; second-order on a Gaussian hill (error ratios 4.00/4.00/4.00 per halving of L); plan/sqrt(p) reproduces a contour's 1/r to 7 digits at r = 10, 25, 45; ridge/valley signs match the stated convention.	SOUND. Note the asymmetry: the MATH is verified while the LOCATOR is not, because the paper is paywalled -- see source-findings.tsv.	agent
layering-filters-and-masks.md	post-process masking against domain-restricted application	Gaea's claim of "no difference in results" between a mask port and a downstream Mask node -- i.e. that lerp(h, f(h), m) equals "f restricted to m"	128^2 field: default_rng(4) uniform noise, 30 box-smoothing passes, scaled to relief 17.47; binary mask over the left half; transport = a thermal-style step moving 0.15*dh to any neighbour more than 0.5 below; 'domain-restricted' freezes the exterior after every step; cells-differing threshold 1e-9. Pointwise operator (h*0.5 + 10): max difference 0.000000000, ZERO cells differing ON THIS FIELD -- the identity is algebraic and IEEE-754 rounding is not guaranteed to preserve it. Transport operator (thermal-style, moves material between cells): 1 iteration also exactly 0; then 5 iters 0.206 (1.18% of relief, 257 cells), 20 iters 0.664 (3.80%, 517 cells), 80 iters 1.162 (6.65%, 775 cells). At 80 iterations 45% of the total difference lies within 4 cells of the mask boundary, which is 6% of the domain.	SOUND WITH A STATED LIMIT. The vendor's equivalence is exact for pointwise operators and for a single transport step, and diverges at the mask edge as transport accumulates. The document states it as a property of that implementation rather than a general theorem.	lead
layering-filters-and-masks.md	post-process masking, mass conservation	whether h + (f(h)-h)*m preserves the mass a transport operator conserves	Same field and operator as the row above. The transport step conserves total mass to 1.2e-10. The post-masked result changes total mass by 17.6 units: 0.37% of all material moved at 20 iterations, 0.23% at 80, 0.22% at 200 -- it PLATEAUS as the relaxation reaches its fixed point rather than growing. A soft ramp mask does not rescue it (0.12% / 0.19% / 0.18%).	DEFECT CONFIRMED and added to the document. A reviewing agent reported the same phenomenon with growth to 2.76% at 200 iterations and called it unbounded; that magnitude and that growth did NOT reproduce here, and the document states the plateau it measured rather than the report.	lead
surface-and-scale-space.md	REDUCE/EXPAND padding against the low band's volume	that a Laplacian split's low band gains +27.6% (symmetric EXPAND pad) or +36.8% (edge) of the field's volume while the round-trip stays bit-exact	Burt-Adelson 5-tap a=0.4, separable, L=5, 256^2, EXPAND normalised by 4. Round-trip exactness reproduces in every row (1.4e-14 to 2.3e-13 m). The MAGNITUDES DO NOT. On smoothed noise: reflect/reflect -0.15%, reflect/symmetric +0.02%, reflect/edge +2.22%, reflect/zero -15.01%, zero/reflect -9.94%. Across four surfaces the same pairs range -15.0% to +2.2% (noise), -1.0% to -11.2% (full-width ramp AND corner wedge, all negative), +0.0% to +1.1% (offset plateau). Nothing reached +27.6% or +36.8% on any field tried, and the sign is field-dependent.	MECHANISM CONFIRMED, NUMBERS REJECTED. The parity argument holds -- EXPAND pads a zero-interleaved array, and only reflect preserves the even/odd lattice -- and the structural point stands: round-trip exactness is blind to low-band volume error. But the reported figures do not reproduce, and on smoothed noise 'symmetric' measured SMALLER than 'reflect', contradicting the document's own 'reflect, and only reflect'. Table replaced with the measured spread, the field-dependence stated as the finding, and the pad-mode choice re-argued from parity rather than from a measured win.	lead
surface-and-scale-space.md	support radius R(L) = 3*2^L - 2	the full-res support radius of an L-level analysis-and-synthesis low band	Impulse through lowfull() on 512^2, threshold 1e-15: L=1..5 gives 4, 10, 22, 46, 94 -- exactly 3*2^L - 2. Separately, sweeping the impulse over all 2^L lattice phases gives a worst case of 12, 28, 60, 124 at L=2..5, exactly 2^(L+2) - 4, about 4/3 of R(L).	CONFIRMED, and EXTENDED. R(L) is the retained-phase radius; the worst case over an unaligned impulse is 2^(L+2) - 4. The document now states both and says which to size from.	lead
surface-and-scale-space.md	the halo phase rule for tiled band splitting	that halo >= R(L) is insufficient and the halo must also satisfy halo = 0 (mod 2^L)	L=4 (R=46, period 16), 64^2 interior tiles against a whole-domain reference. At tile origin 192 (a multiple of 16): halos 48, 64, 80, 96, 112, 128 all bit-exact 0.000000; halos 56, 60, 62 wrong by 14.55, 9.40, 5.05 m despite all exceeding R. At tile origin 193: halos 49 and 65 are bit-exact and halos 48, 64 and 80 are wrong by 2.57 m -- every one of those three is a multiple of 16 and exceeds R.	CONFIRMED AS STATED, but the stated form is a special case and was generalised. The real condition is (tile_origin - halo) = 0 (mod 2^L): it is the SUB-ARRAY's origin that must land on the retained phase. 'halo = 0 (mod 2^L)' is only equivalent when tile origins are themselves multiples of 2^L. The document now carries the general rule and the origin-193 counter-example, because an offset build region silently defeats the convenient form.	lead
hydraulic-erosion.md	per-class repose: is the multi-class slippage pass order-independent?	the agent first wrote that k slippage passes are order-independent 'because no pass sees another's material', then revised to the opposite before delivery -- both halves needed measuring	Co-located piles on flat bedrock, 64^2, cell 1.0: sand cone (amp 12, r 8) at 32 deg under scree cone (amp 12, r 4) at 38 deg; slippage moves 0.25*excess per direction per sweep until nothing moves. Scheme A, each pass reading ONLY its own layer over bedrock: the two orders agree to 0.000e+00 m -- exactly order-independent -- and the composite surface stands at 54.58 deg. Scheme B, each pass reading the composite: composite relaxes to 38.00 deg and the two orders differ by 0.25 m. Separated (non-overlapping) piles relax to exactly 32.00 and 38.00 deg under both schemes. NOTE: my first run of this was wrong -- np.roll(t,-d) moved material UPHILL, and every pile 'relaxed' to 88 deg. Fixed to np.roll(t,d) before any number above was taken.	BOTH HALVES CONFIRMED, AND THE TRADE IS REAL. Order-independence and repose-correctness are mutually exclusive here, and the agent's delivered text stated only the second. The document now carries both measurements, names the trade, and splits the recommendation: read the composite and fix the order when the deposits are geometry; read bedrock only when the stack is a splatmap, where nothing is rendered as a slope.	lead
stratigraphy-and-lithology.md	does layered K produce caprock, cuestas AND mesas?	Gaia's own prior sentence, asserted twice in the corpus, that layered erodibility produces caprock, cuestas and mesas	Re-ran the agent's exp2.py unmodified (128^2, 100 m/cell, stream power + linear diffusion). Reproduced exactly as reported: contrast 4 at 4 Myr S_hard/S_soft(area) 1.597, area_hard 0.502; contrast 16 at 2 Myr S_area 1.323, area_hard 0.300, trunk relief concentration 2.29x; contrast 4 dipped 10 deg S_area 1.005 and 0.87x -- the weakest of the set, matching the outcrop-width argument.	SOUND, and it CORRECTS THE SKILL. The scarp is real and measured; the mesa is not. area_hard never exceeds the 0.5 that bed thickness alone predicts and FALLS to 0.300 at 16x contrast, so the map area concentrates in the WEAK beds -- a strike valley, not a mesa top. The document states Gaia's sentence as right about cuestas and scarps and overstated about mesas, and routes the tread to the mass-wasting pass.	lead
impact-craters.md, mesh-extraction.md	the wave-3 agent's crater and QEM measurements	Pike's transcribed coefficients, the ejecta-to-rim share, and every QEM number	Re-ran w3/crater.py, w3/ejecta.py, w3/qem.py and w3/qem2.py unmodified. Pike's fits intersect at 10.5829 km (depth) and 21.2726 km (rim height) against his own stated 'about 10.6' and 'about 21.3', and 30.3524 km for rim-flank width -- the transcription round-trips. Ejecta thickness at the rim as a share of Pike rim height falls 0.967 / 0.551 / 0.265 at D = 0.05 / 0.5 / 10 km. QEM: v^T K v against analytic point-plane 2.842e-14; initial Delta 1.818e-13; Delta/(n*d^2) = 0.8830 at n = 3,4,6,8,12; over 3453 contractions mean sqrt(Delta) 0.0175 against true vertical miss 0.0031, ratio 5.60 (4.17-6.94); flat-patch boundary collapse costs exactly 0.0 even after dragging the vertex a full cell inward.	ALL REPRODUCE. One note recorded rather than changed: Delta/(n*d^2) = cos^2(20 deg) is an identity of the fixture, not a discovery -- a vertical displacement against n planes each tilted 20 deg gives n*d^2*cos^2(theta) for any n. The document already says 'which is the analytic value', so it is honest as written; the load-bearing conclusion (Delta scales with valence, so sqrt(Delta) grows as sqrt(n) and is not a screen-space error) is correct and follows from the identity rather than despite it.	lead
driver-fields.md	the upslope model's zero integral and the clamp-then-renormalise rule	that v.grad(h) integrates to zero over a closed terrain, so an unclamped upslope precipitation field gives half the map negative rainfall and clamping alone halves the base rate	256^2, central differences, three fields x three wind directions. Periodic domain: sum(v.grad h) = 3.6e-13 to 5.5e-12, i.e. 1.6e-19 to 8.3e-17 of sum|v.grad h| -- zero to machine precision. Non-periodic with one-sided edges: -3.4e-05 of sum|.| on smoothed noise, 5.7e-17 on an isolated Gaussian ridge. Fraction of cells with a NEGATIVE value: 50.0%, 50.1% (smoothed noise, wind 0 and 30 deg), 49.6%, 49.6% (Gaussian ridge). After clamping, mean(clamped) / mean|unclamped| = 0.50 in every one of those cases. Counter-example measured deliberately: a full-width monotonic ramp gives 0.0% negative cells and a normalised sum of exactly +1.0.	CONFIRMED, and the counter-example is the useful half. The identity holds because every windward slope has a lee; a terrain with no lee (a tilted plane) does not trip it at all, which is why a tilted-plane test scene hides the bug. The document states the clamp rule, the measured 0.50x base-rate loss that makes renormalisation necessary rather than cosmetic, and the ramp counter-example.	lead
coastal-erosion.md	the 42 degree shoreline instability threshold, and every derived coastal number	that Ashton & Murray's high-angle instability threshold is recoverable from ashton2006b's own equations, confirming the transcription of four exponents	Re-ran w5/coastal.py unmodified. The zero of eq. (8)'s bracket (6/5)sin^2(psi)-cos^2(psi) and the maximum of eq. (7) BOTH give 42.3920 deg, and both equal the closed form arctan(sqrt(5/6)) = 42.3920 deg, which I recomputed independently. The paper states 'approximately 42 deg'. Table 1's breaking-angle CERC form peaks at 45.000 deg as the paper says. Unstable fraction of the 0-90 range 52.9%; W* ratio for halving A exactly 2^(3/2) = 2.8284; Bruun amplification R/S = 71.55 at h* = 8 m; Bruun retreat spanning 12.65-36.22 m (2.86x) across Cooper & Pilkey's own 4-18 m closure-depth span; A = 0.067 w^0.44 spanning only 3.74x over a 20x range of w; |mu| = 0.05389 m^2/s and the L^2 e-folding table 1.3 h / 5.4 d / 1.5 yr / 149 yr; 2^2.4 = 5.278 and 0.34/0.15 = 2.267. All reproduce.	ALL REPRODUCE. Two notes. The agent's unresolved units question is resolvable and its reading is right: mu = -(1/D) dQs/dtheta with Qs in m^3/s and theta in radians gives m^2/s, so the paper's printed 'm/s2' is a typo -- the document already flags this as its own dimensional reading rather than the paper's stated units, which is the honest form and was left as written. SEPARATELY, one suggestion in the agent's report was REJECTED and not applied: it proposed back-references calling the coastal axis 'the only diffusive erosion process in the skill'. That is false -- thermal erosion is a slope-limited diffusion. The claim appears nowhere in the document itself, so nothing needed correcting; it is recorded here so it is not adopted later from the report.	lead
